Manufacturer,Year,Potentially Affected,cluster,severity_level,severity_label
"Daimler Vans USA, LLC",2020,1,1,1,Low
"Kawasaki Motors Corp., U.S.A.",2020,1770,2,3,High
"Mercedes-Benz USA, LLC",2020,9,1,1,Low
"Mercedes-Benz USA, LLC",2020,2563,2,3,High
"Altec Industries, Inc.",2020,183,1,1,Low
Land Rover,1988,4704,0,2,Medium
"Yamaha Motor Corporation, USA",2020,1375,2,3,High
"Spartan Fire, LLC",2020,193,1,1,Low
"Forest River, Inc.",2020,2828,2,3,High
"Altec Industries, Inc.",2020,4987,2,3,High
"Subaru of America, Inc.",2020,7741,2,3,High
"Forest River, Inc.",2020,200,1,1,Low
Honda (American Honda Motor Co.),2020,268655,2,3,High
"Grand Design RV, LLC",2020,352,1,1,Low
Honda (American Honda Motor Co.),2020,235034,2,3,High
Honda (American Honda Motor Co.),2020,248358,2,3,High
Honda (American Honda Motor Co.),2020,737233,2,3,High
"Volkswagen Group of America, Inc.",2020,2355,2,3,High
"BMW of North America, LLC",2020,812,1,1,Low
"Daimler Vans USA, LLC",2020,9,1,1,Low
"Chrysler (FCA US, LLC)",1974,1537,0,2,Medium
"McNeilus Truck & Manufacturing, Inc.",2020,7,1,1,Low
"Nissan North America, Inc.",2020,7583,2,3,High
"Forest River, Inc.",2020,115,1,1,Low
"Nissan North America, Inc.",2020,2708,2,3,High
E-One Incorporated,2020,195,1,1,Low
"Mercedes-Benz USA, LLC",2020,26,1,1,Low
"Jaguar Land Rover North America, LLC",2020,23,1,1,Low
"Volkswagen Group of America, Inc.",2020,166,1,1,Low
Honda (American Honda Motor Co.),1988,279821,2,3,High
"Kia America, Inc.",2020,294756,2,3,High
"Forest River, Inc.",2020,3,1,1,Low
"Vac-Tron Equipment, LLC",2020,38,1,1,Low
"Halcore Group, Inc.",2020,251,1,1,Low
Hyundai Motor America,2020,128948,2,3,High
"Nissan North America, Inc.",2020,3930,2,3,High
Hyundai Motor America,2020,8176,2,3,High
"Triumph Motorcycles America, Ltd.",2020,1241,1,1,Low
Rosenbauer America,2020,43,1,1,Low
"Chrysler (FCA US, LLC)",1974,8300,0,2,Medium
"Mitsubishi Motors North America, Inc.",2020,21758,2,3,High
"Daimler Trucks North America, LLC",2020,1233,1,1,Low
"Kibbi, LLC",2020,258,1,1,Low
Toyota Motor Engineering & Manufacturing,2020,161,1,1,Low
"General Motors, LLC",2020,94,1,1,Low
"General Motors, LLC",2020,9279,2,3,High
"Volkswagen Group of America, Inc.",2020,5426,2,3,High
Triple E Recreational Vehicles,2020,95,1,1,Low
Newmar Corporation,2020,710,1,1,Low
PACCAR Incorporated,2020,11,1,1,Low
"Daimler Vans USA, LLC",2020,562,1,1,Low
Ford Motor Company,2020,17,1,1,Low
Bugatti,2020,3,1,1,Low
Bugatti,2020,73,1,1,Low
"Forest River, Inc.",2020,4203,2,3,High
Isuzu Motors Limited,2020,46,1,1,Low
Isuzu Motors Limited,2020,46,1,1,Low
Triple E Recreational Vehicles,2020,1149,1,1,Low
"Kawasaki Motors Corp., U.S.A.",2020,84,1,1,Low
"Volkswagen Group of America, Inc.",2020,10835,2,3,High
Honda (American Honda Motor Co.),2020,214,1,1,Low
Ford Motor Company,2020,690,1,1,Low
Hyundai Motor America,2020,2,1,1,Low
Thor Motor Coach,2020,190,1,1,Low
Lamborghini (Automobili Lamborghini),2020,2831,2,3,High
"Chrysler (FCA US, LLC)",2020,8,1,1,Low
Keystone RV Company,2020,1296,1,1,Low
"Volkswagen Group of America, Inc.",2020,32048,2,3,High
"Altec Industries, Inc.",2020,13,1,1,Low
"Tesla, Inc.",2020,401,1,1,Low
"Tesla, Inc.",2020,9136,2,3,High
Thor Motor Coach,2020,1074,1,1,Low
"Volkswagen Group of America, Inc.",2020,776,1,1,Low
REV Recreation Group,2020,160,1,1,Low
"General Motors, LLC",2020,50932,2,3,High
"Volkswagen Group of America, Inc.",2020,760,1,1,Low
"Winnebago Industries, Inc.",2020,242,1,1,Low
Zero Motorcycles Inc.,2020,659,1,1,Low
Hyundai Motor America,2020,60097,2,3,High
Lion Electric Company,2020,8,1,1,Low
Toyota Motor Engineering & Manufacturing,2020,413,1,1,Low
"Chrysler (FCA US, LLC)",2020,28884,2,3,High
"BMW of North America, LLC",2020,49,1,1,Low
"Terex South Dakota, Inc.",2020,40,1,1,Low
Ford Motor Company,2020,225,1,1,Low
Ford Motor Company,2020,15587,2,3,High
Ford Motor Company,2020,10905,2,3,High
"Jaguar Land Rover North America, LLC",2020,11084,2,3,High
Winnebago Towable,2020,106,1,1,Low
"Daimler Trucks North America, LLC",2020,615,1,1,Low
"Autocar, LLC",2020,116,1,1,Low
"Forest River, Inc.",2020,94,1,1,Low
"Autocar, LLC",2020,1060,1,1,Low
"Jaguar Land Rover North America, LLC",2020,3048,2,3,High
"General Motors, LLC",2020,7516,2,3,High
"Nissan North America, Inc.",2020,2214,2,3,High
"Winnebago Industries, Inc.",2020,1806,2,3,High
"Daimler Trucks North America, LLC",2020,104,1,1,Low
"BMW of North America, LLC",2020,83,1,1,Low
Thor Motor Coach,2020,59,1,1,Low
Transcraft Corporation,2020,499,1,1,Low
"Volvo Car USA, LLC",2020,54124,2,3,High
Toyota Motor Engineering & Manufacturing,2020,1525742,2,3,High
Triple E Recreational Vehicles,2020,143,1,1,Low
"Braun Industries, Inc.",2020,291,1,1,Low
"Kawasaki Motors Corp., U.S.A.",2020,799,1,1,Low
Keystone RV Company,2020,1278,1,1,Low
"Mercedes-Benz USA, LLC",2020,55326,2,3,High
"Mercedes-Benz USA, LLC",2020,47,1,1,Low
"Mercedes-Benz USA, LLC",2020,1337,2,3,High
"Jayco, Inc.",2020,735,1,1,Low
"BMW of North America, LLC",2020,21,1,1,Low
"Jayco, Inc.",2020,1058,1,1,Low
"Daimler Trucks North America, LLC",2020,1411,2,3,High
"General Motors, LLC",2020,194105,2,3,High
Triple E Recreational Vehicles,2020,832,1,1,Low
"Jayco, Inc.",2020,165,1,1,Low
"Daimler Vans USA, LLC",2020,47667,2,3,High
"Proterra Operating Company, Inc.",2020,5,1,1,Low
"Chrysler (FCA US, LLC)",2020,698,1,1,Low
"Volkswagen Group of America, Inc.",2020,94144,2,3,High
"Forest River, Inc.",2020,9261,2,3,High
"Forest River, Inc.",2020,69,1,1,Low
"Forest River, Inc.",2020,1150,1,1,Low
"Mercedes-Benz USA, LLC",2020,2533,2,3,High
"General Motors, LLC",2020,42,1,1,Low
"Braun Industries, Inc.",2020,156,1,1,Low
"Volkswagen Group of America, Inc.",2020,218192,2,3,High
"Heartland Recreational Vehicles, LLC",2020,104,1,1,Low
"Volkswagen Group of America, Inc.",2020,1,1,1,Low
"Mitsubishi Fuso Truck of America, Inc.",2020,2873,2,3,High
"Mitsubishi Fuso Truck of America, Inc.",2020,4294,2,3,High
Ford Motor Company,1974,324,0,2,Medium
Shyft Group,2020,323,1,1,Low
"Daimler Trucks North America, LLC",2020,4329,2,3,High
Prime-Time Specialty Vehicles,2020,20,1,1,Low
Ford Motor Company,2020,689,1,1,Low
Ford Motor Company,2020,2903,2,3,High
"Genie Industries, Inc.",2020,8,1,1,Low
"General Motors, LLC",2020,1788,2,3,High
"General Motors, LLC",2020,2781,2,3,High
Zero Motorcycles Inc.,2020,64,1,1,Low
