Manufacturer,Year,Potentially Affected,cluster,severity_level,severity_label
Thor Motor Coach,2025,23,1,1,Low
"Kia America, Inc.",2025,39536,2,3,High
"Jaguar Land Rover North America, LLC",2025,3818,2,3,High
"BMW of North America, LLC",2025,145102,2,3,High
"BMW of North America, LLC",2025,4,1,1,Low
"Chrysler (FCA US, LLC)",2025,123396,2,3,High
"International Motors, LLC",2025,3,1,1,Low
"International Motors, LLC",2025,4778,2,3,High
"General Motors, LLC",2025,23700,2,3,High
"Volkswagen Group of America, Inc.",2025,1042,1,1,Low
"Volkswagen Group of America, Inc.",2025,1,1,1,Low
"BMW of North America, LLC",2025,196355,2,3,High
Blue Bird Body Company,2025,150,1,1,Low
"Porsche Cars North America, Inc.",2025,107,1,1,Low
Lamborghini (Automobili Lamborghini),2025,14,1,1,Low
Motor Coach Industries,2025,12,1,1,Low
"New Flyer of America, Inc.",2025,655,1,1,Low
Isuzu Motors Limited,2025,11385,2,3,High
"Altec Industries, Inc.",2025,15,1,1,Low
Ford Motor Company,2025,4632,2,3,High
"Brenner Tank, LLC",2025,8,1,1,Low
Ford Motor Company,2025,115539,2,3,High
Wabash National Corporation,2025,10,1,1,Low
Hyundai Motor America,2025,7855,2,3,High
Ford Motor Company,2025,212,1,1,Low
"Mack Trucks, Inc.",2025,156,1,1,Low
Volvo Trucks North America,2025,2307,2,3,High
Volvo Trucks North America,2025,3609,2,3,High
"General Motors, LLC",2025,12,1,1,Low
Reading Truck Group LLC,2025,10,1,1,Low
"BMW of North America, LLC",2025,1571,2,3,High
Hyundai Motor America,2025,8,1,1,Low
"Polestar Automotive USA, Inc.",2025,27816,2,3,High
"Yamaha Motor Corporation, USA",2025,922,1,1,Low
Orange EV,2025,1378,1,1,Low
Ford Motor Company,2025,101944,2,3,High
"Forest River, Inc.",2025,502,1,1,Low
"Daimler Vans USA, LLC",2025,4,1,1,Low
Hyundai Motor America,2025,31042,2,3,High
Hyundai Motor America,2025,568580,2,3,High
"Mack Trucks, Inc.",1978,161,0,2,Medium
"Daimler Trucks North America, LLC",2025,95,1,1,Low
"Daimler Trucks North America, LLC",2025,343,1,1,Low
"Daimler Trucks North America, LLC",2025,50,1,1,Low
"Daimler Trucks North America, LLC",2025,380,1,1,Low
"Corp. Micro Bird, Inc.",2025,2454,2,3,High
"Corp. Micro Bird, Inc.",2025,419,1,1,Low
"KTM North America, Inc.",2025,9070,2,3,High
Ford Motor Company,2025,9,1,1,Low
CHAMPION HOME BLDR. CO.,1974,12,0,2,Medium
Toyota Motor Engineering & Manufacturing,2025,591377,2,3,High
"General Motors, LLC",2025,1191,1,1,Low
"Chrysler (FCA US, LLC)",2025,163735,2,3,High
"Chrysler (FCA US, LLC)",2025,1761,2,3,High
"Aprilia USA, Inc.",2025,720,1,1,Low
Harley-Davidson Motor Company,2025,8422,2,3,High
"Volvo Car USA, LLC",2025,1357,1,1,Low
Storyteller Overland,2025,61,1,1,Low
Zero Motorcycles Inc.,2025,319,1,1,Low
Shyft Group,2006,254,1,1,Low
"Chrysler (FCA US, LLC)",2025,53849,2,3,High
"Rivian Automotive, LLC",2025,24214,2,3,High
"Spartan Fire, LLC",2025,1261,1,1,Low
Honda (American Honda Motor Co.),2025,7492,2,3,High
Honda (American Honda Motor Co.),2025,17334,2,3,High
"Altec Industries, Inc.",2025,19,1,1,Low
"International Motors, LLC",2025,457,1,1,Low
Cruiser RV,2025,10,1,1,Low
"Jayco, Inc.",2025,75,1,1,Low
"General Motors, LLC",1974,811,0,2,Medium
Toyota Motor Engineering & Manufacturing,2025,94320,2,3,High
"Chrysler (FCA US, LLC)",2025,91787,2,3,High
"Chrysler (FCA US, LLC)",2025,8,1,1,Low
"Chrysler (FCA US, LLC)",2025,75,1,1,Low
"Chrysler (FCA US, LLC)",2025,985,1,1,Low
Ford Motor Company,2025,1456417,2,3,High
Orange EV,2025,16,1,1,Low
"Foretravel, Inc.",2025,87,1,1,Low
Ducati North America,2025,10235,2,3,High
PACCAR Incorporated,2025,13908,2,3,High
Mazda North American Operations,2025,104854,2,3,High
Motor Coach Industries,2025,59,1,1,Low
"New Flyer of America, Inc.",2025,1170,1,1,Low
REV Recreation Group,2025,224,1,1,Low
Tuff Trailer USA Inc.,2025,6,1,1,Low
"Tiffin Motorhomes, Inc.",2025,20,1,1,Low
"Mack Trucks, Inc.",1974,1023,0,2,Medium
"Corp. Micro Bird, Inc.",2025,30,1,1,Low
"Altec Industries, Inc.",2025,1352,1,1,Low
"Kibbi, LLC",2025,69,1,1,Low
Fontaine Trailer Company,2025,35,1,1,Low
"VinFast Auto, LLC",2025,6314,2,3,High
Midwest Fire Equipment & Repair Company,2025,36,1,1,Low
Vermeer Manufacturing Company,2025,2,1,1,Low
"BMW of North America, LLC",2025,1406,2,3,High
"Polestar Automotive USA, Inc.",2025,68,1,1,Low
Nova Bus (US) Inc.,2025,24,1,1,Low
"Chrysler (FCA US, LLC)",2025,219577,2,3,High
"Forest River, Inc.",2025,7,1,1,Low
"Forest River, Inc.",2025,2379,2,3,High
Hyundai Motor America,2025,29,1,1,Low
"Kia America, Inc.",2025,30,1,1,Low
Keystone RV Company,2025,148,1,1,Low
"Rivian Automotive, LLC",2025,23,1,1,Low
"VULCAN TRLR. MFG. CO.,INC",1974,114,0,2,Medium
Ford Motor Company,2025,105545,2,3,High
Ford Motor Company,2025,499129,2,3,High
Ford Motor Company,2025,213121,2,3,High
"New Flyer of America, Inc.",2025,2354,2,3,High
Ford Motor Company,2025,100900,2,3,High
Ford Motor Company,2025,355656,2,3,High
"Forest River, Inc.",2025,209,1,1,Low
"Forest River, Inc.",2025,7,1,1,Low
"BIRMINGHAM MFG. CO., INC.",1974,143,0,2,Medium
"General Motors, LLC",2025,23656,2,3,High
Aluminum Trailer Company (ATC),2025,650,1,1,Low
"International Motors, LLC",2025,1175,1,1,Low
"Mercedes-Benz USA, LLC",2025,3749,2,3,High
Aston Martin The Americas,2025,178,1,1,Low
"Triumph Motorcycles America, Ltd.",2025,1929,2,3,High
"Chrysler (FCA US, LLC)",2025,2885,2,3,High
"Altec Industries, Inc.",2025,124,1,1,Low
"Jayco, Inc.",2025,173,1,1,Low
"Chrysler (FCA US, LLC)",2025,22906,2,3,High
"SAAB CARS USA, INC.",2004,12249,2,3,High
"Volkswagen Group of America, Inc.",2025,15,1,1,Low
The Heil Co.,2025,1360,1,1,Low
The Heil Co.,2025,408,1,1,Low
The Heil Co.,2025,222,1,1,Low
"International Motors, LLC",2025,3230,2,3,High
"Mack Trucks, Inc.",2025,32,1,1,Low
Volvo Trucks North America,2025,2487,2,3,High
Ford Motor Company,2025,3045,2,3,High
Ford Motor Company,2025,102,1,1,Low
Ford Motor Company,2025,1278,2,3,High
Ford Motor Company,2025,1,1,1,Low
Ford Motor Company,2025,2361,2,3,High
Ford Motor Company,2025,8,1,1,Low
Ford Motor Company,2025,103174,2,3,High
"Jaguar Land Rover North America, LLC",2025,121509,2,3,High
"Mercedes-Benz USA, LLC",2025,136,1,1,Low
Ford Motor Company,2025,41875,2,3,High
Keystone RV Company,2006,85,1,1,Low
"Altec Industries, Inc.",2025,45,1,1,Low
"Suzuki Motor USA, LLC",2025,1543,2,3,High
"Nissan North America, Inc.",2025,13719,2,3,High
"Mitsubishi Motors North America, Inc.",2025,121529,2,3,High
"Grand Design RV, LLC",2025,625,1,1,Low
FONTAINE MODIFICATION CO.,2025,176,1,1,Low
"International Motors, LLC",2025,16553,2,3,High
"International Motors, LLC",2025,4764,2,3,High
FRUEHAUF CORPORATION,1974,58,0,2,Medium
"International Motors, LLC",2025,1129,1,1,Low
The Heil Co.,2025,5,1,1,Low
"Mack Trucks, Inc.",2025,36,1,1,Low
"Winnebago Industries, Inc.",2025,655,1,1,Low
Storyteller Overland,2025,106,1,1,Low
Brinkley RV,2025,35,1,1,Low
Premier Trailer Solutions LLC,2025,3,1,1,Low
"Kia America, Inc.",2025,201149,2,3,High
"Kia America, Inc.",2025,100063,2,3,High
"Porsche Cars North America, Inc.",2025,3,1,1,Low
Nova Bus (US) Inc.,2025,339,1,1,Low
"Tesla, Inc.",2025,6,1,1,Low
Grech Motors Inc.,2025,1276,1,1,Low
Ford Motor Company,2025,56473,2,3,High
Ford Motor Company,2025,312120,2,3,High
"Mercedes-Benz USA, LLC",2025,660,1,1,Low
"Forest River, Inc.",2025,534,1,1,Low
"BMW of North America, LLC",2025,33,1,1,Low
Ford Motor Company,2025,23111,2,3,High
"General Motors, LLC",2025,53,1,1,Low
Hyundai Motor America,2025,10,1,1,Low
"Ferrari North America, Inc.",2025,541,1,1,Low
"BMW of North America, LLC",2025,71286,2,3,High
"Tiffin Motorhomes, Inc.",2025,418,1,1,Low
"Winnebago Industries, Inc.",2025,2119,2,3,High
Lamborghini (Automobili Lamborghini),2025,27,1,1,Low
Rosenbauer America,2025,788,1,1,Low
Hyundai Motor America,2025,4754,2,3,High
Prevost Car (US) Inc.,2025,35,1,1,Low
"Chrysler (FCA US, LLC)",2025,121398,2,3,High
"Chrysler (FCA US, LLC)",2025,21,1,1,Low
"Jaguar Land Rover North America, LLC",2025,1436,2,3,High
"BMW of North America, LLC",2025,136,1,1,Low
Volvo Bus Corporation,2025,165,1,1,Low
INTERNATIONAL TRUCK & ENGINE CORPORATION,1974,2000,0,2,Medium
"Porsche Cars North America, Inc.",2025,284,1,1,Low
Winnebago Towable,2025,527,1,1,Low
"American Manufacturing Operations, INC.",2025,2294,1,1,Low
"Polestar Automotive USA, Inc.",2025,33,1,1,Low
Ford Motor Company,2025,694271,2,3,High
"Malibu Boats, LLC",2025,2001,1,1,Low
Zero Motorcycles Inc.,2025,44,1,1,Low
"Forest River, Inc.",2025,41,1,1,Low
"Daimler Vans USA, LLC",2025,43422,2,3,High
INTERNATIONAL TRUCK & ENGINE CORPORATION,1974,3000,0,2,Medium
MANSFIELD TIRE & RUBBER C,1974,35,0,2,Medium
"Mitsubishi Fuso Truck of America, Inc.",2025,244,1,1,Low
"Airstream, Inc.",2025,244,1,1,Low
Prevost Car (US) Inc.,2025,241,1,1,Low
Motor Coach Industries,2025,321,1,1,Low
Bontrager Outdoors,2025,24,1,1,Low
Motiv Power Systems,2025,55,1,1,Low
"Polestar Automotive USA, Inc.",2025,969,1,1,Low
"Jaguar Land Rover North America, LLC",2025,20999,2,3,High
Reading Truck Group LLC,2025,7,1,1,Low
Honda (American Honda Motor Co.),1984,295,0,2,Medium
Honda (American Honda Motor Co.),2025,72256,2,3,High
"Kawasaki Motors Corp., U.S.A.",2025,17792,2,3,High
Shyft Group,2025,2785,2,3,High
Ford Motor Company,2025,850318,2,3,High
"Braun Industries, Inc.",2025,370,1,1,Low
"Bombardier Recreational Products, Inc.",2025,843,1,1,Low
"Autocar, LLC",2025,195,1,1,Low
"Autocar, LLC",2025,49,1,1,Low
Shyft Group,2025,150,1,1,Low
"FTEC, Inc.",1974,61,0,2,Medium
"Polestar Automotive USA, Inc.",2025,2,1,1,Low
"Volkswagen Group of America, Inc.",2025,546,1,1,Low
Terminal Investment Corporation,2025,76,1,1,Low
Honda (American Honda Motor Co.),2025,6,1,1,Low
Orange EV,2025,20,1,1,Low
"Nissan North America, Inc.",2025,443899,2,3,High
Ford Motor Company,2025,2,1,1,Low
"Kawasaki Motors Corp., U.S.A.",2025,482,1,1,Low
Ford Motor Company,2025,200186,2,3,High
Ford Motor Company,2025,239,1,1,Low
"Volkswagen Group of America, Inc.",2025,8,1,1,Low
Bowlus Road Chief LLC,2025,57,1,1,Low
"Daimler Trucks North America, LLC",2025,4,1,1,Low
Oshkosh Corporation,2025,917,1,1,Low
Ford Motor Company,2025,171,1,1,Low
Ford Motor Company,2025,5,1,1,Low
Newmar Corporation,2025,541,1,1,Low
Great Dane Trailers,2025,444,1,1,Low
Honda (American Honda Motor Co.),2025,112,1,1,Low
"Chrysler (FCA US, LLC)",2025,1689,2,3,High
"General Motors, LLC",2025,1658,2,3,High
Temsa,2025,341,1,1,Low
PACCAR Incorporated,2025,56260,2,3,High
"International Motors, LLC",2025,12004,2,3,High
"General Motors, LLC",2025,40233,2,3,High
"Volvo Car USA, LLC",2025,11469,2,3,High
"Mitsubishi Motors North America, Inc.",2000,344,1,1,Low
"Mack Trucks, Inc.",2025,148,1,1,Low
"Daimler Trucks North America, LLC",2025,22271,2,3,High
GEM WAEV LLC,2025,5353,2,3,High
Keystone RV Company,2025,424,1,1,Low
Keystone RV Company,2025,491,1,1,Low
"Kia America, Inc.",2025,11327,2,3,High
"Forest River, Inc.",2025,126,1,1,Low
"Forest River, Inc.",2025,78,1,1,Low
"Forest River, Inc.",2025,12,1,1,Low
"General Motors, LLC",1974,2578,0,2,Medium
Supreme Corporation,2025,2,1,1,Low
Shyft Group,2025,871,1,1,Low
"Subaru of America, Inc.",2025,2938,2,3,High
Vanguard National Trailer Corporation,2025,2192,1,1,Low
Mazda North American Operations,2025,22,1,1,Low
REV Recreation Group,2025,141,1,1,Low
"Tesla, Inc.",2025,48,1,1,Low
Mazda North American Operations,2025,2,1,1,Low
"Chrysler (FCA US, LLC)",1974,750,0,2,Medium
Ford Motor Company,2025,132914,2,3,High
Ford Motor Company,2025,197432,2,3,High
Ford Motor Company,2025,6781,2,3,High
Ford Motor Company,2025,2345,2,3,High
Ford Motor Company,2025,8,1,1,Low
"Altec Industries, Inc.",2025,965,1,1,Low
Ford Motor Company,2025,45,1,1,Low
Ford Motor Company,2025,40,1,1,Low
Ford Motor Company,2025,27768,2,3,High
Ford Motor Company,2025,2272,2,3,High
Ford Motor Company,2025,156,1,1,Low
Ford Motor Company,2025,276,1,1,Low
Ford Motor Company,2025,304662,2,3,High
Honda (American Honda Motor Co.),2025,259033,2,3,High
"Chrysler (FCA US, LLC)",2025,8390,2,3,High
"Chrysler (FCA US, LLC)",2025,140,1,1,Low
Ford Motor Company,1984,489,0,2,Medium
"General Motors, LLC",2025,62468,2,3,High
"Rivian Automotive, LLC",2025,27882,2,3,High
"Mercedes-Benz USA, LLC",2025,127,1,1,Low
Nova Bus (US) Inc.,2025,45,1,1,Low
Hyundai Translead,2025,2,1,1,Low
"Mack Trucks, Inc.",2025,8,1,1,Low
"Forest River, Inc.",2025,1367,1,1,Low
Ford Motor Company,2025,63898,2,3,High
Braun Corporation,2025,1533,1,1,Low
"Mack Trucks, Inc.",2025,5,1,1,Low
Ford Motor Company,2025,1797,2,3,High
Harley-Davidson Motor Company,2025,82117,2,3,High
Volvo Trucks North America,2025,228,1,1,Low
"Mercedes-Benz USA, LLC",2025,92851,2,3,High
"Mercedes-Benz USA, LLC",2025,94,1,1,Low
Starcraft RV,2025,45,1,1,Low
"Nissan North America, Inc.",2025,79755,2,3,High
Triple E Recreational Vehicles,2025,467,1,1,Low
Mazda North American Operations,2025,12244,2,3,High
"Chrysler (FCA US, LLC)",1974,950,0,2,Medium
Hyundai Motor America,2025,10409,2,3,High
Ford Motor Company,2025,404,1,1,Low
Ford Motor Company,2025,3,1,1,Low
"Rivian Automotive, LLC",2025,536,1,1,Low
"Mitsubishi Motors North America, Inc.",2025,198940,2,3,High
"Battle Motors, Inc.",2025,34,1,1,Low
Custom Truck And Body Works,2025,3,1,1,Low
Orange EV,2025,47,1,1,Low
"Alliance RV, LLC",2025,50,1,1,Low
PACCAR Incorporated,2025,315,1,1,Low
"Forest River Bus, LLC",2025,41,1,1,Low
"Forest River Bus, LLC",2025,2759,2,3,High
"Mercedes-Benz USA, LLC",2025,26,1,1,Low
Orange EV,2025,968,1,1,Low
"Tesla, Inc.",2025,172,1,1,Low
Honda (American Honda Motor Co.),2025,1016,1,1,Low
Mazda North American Operations,2025,171412,2,3,High
"General Motors, LLC",2025,41376,2,3,High
"Jayco, Inc.",2025,69,1,1,Low
"Kia America, Inc.",2025,82281,2,3,High
Ford Motor Company,2025,112949,2,3,High
Ford Motor Company,2025,8,1,1,Low
Ford Motor Company,2025,10,1,1,Low
Ford Motor Company,2025,492145,2,3,High
Ford Motor Company,2025,426,1,1,Low
Ford Motor Company,2025,29501,2,3,High
Ford Motor Company,2025,192,1,1,Low
East Trailers LLC,2006,12,1,1,Low
Ford Motor Company,2025,3506,2,3,High
Ford Motor Company,2025,3227,2,3,High
Ford Motor Company,2025,30679,2,3,High
Shyft Group,2025,1977,2,3,High
"Volkswagen Group of America, Inc.",2025,171381,2,3,High
"Mack Trucks, Inc.",2025,42,1,1,Low
"Chrysler (FCA US, LLC)",2025,235640,2,3,High
"Jayco, Inc.",2006,278,1,1,Low
Orange EV,2025,301,1,1,Low
Isuzu Motors Limited,2025,73,1,1,Low
"Volkswagen Group of America, Inc.",2025,5644,2,3,High
"International Motors, LLC",2025,7,1,1,Low
Toyota Motor Engineering & Manufacturing,2025,443444,2,3,High
Keystone RV Company,2025,248,1,1,Low
Ford Motor Company,2025,128889,2,3,High
Ford Motor Company,2025,1076138,2,3,High
FREIGHTLINER LLC,1984,405,0,2,Medium
"Winnebago Industries, Inc.",2025,57,1,1,Low
"Mitsubishi Fuso Truck of America, Inc.",2025,243,1,1,Low
"Chrysler (FCA US, LLC)",2025,48526,2,3,High
Aluminum Trailer Company (ATC),2025,12,1,1,Low
"Mercedes-Benz USA, LLC",2025,443,1,1,Low
Ford Motor Company,2025,273789,2,3,High
Ford Motor Company,2025,6,1,1,Low
Ford Motor Company,2025,12219,2,3,High
Wilson Trailer Company,1974,24,0,2,Medium
Ford Motor Company,2025,46,1,1,Low
Ford Motor Company,2025,4497,2,3,High
Ford Motor Company,2025,9181,2,3,High
Ford Motor Company,2025,3,1,1,Low
"Forest River, Inc.",2025,19,1,1,Low
Ford Motor Company,2025,5,1,1,Low
DRV Suites,2025,16,1,1,Low
"Heartland Recreational Vehicles, LLC",2025,130,1,1,Low
Ford Motor Company,2025,2002,2,3,High
Ford Motor Company,2025,206,1,1,Low
Isuzu Motors Limited,2025,73,1,1,Low
"General Motors, LLC",1974,13502,0,2,Medium
"Chrysler (FCA US, LLC)",2025,250651,2,3,High
"Volvo Car USA, LLC",2025,413151,2,3,High
Thor Motor Coach,2025,42,1,1,Low
"General Motors, LLC",2025,32,1,1,Low
"Chrysler (FCA US, LLC)",2025,71,1,1,Low
"Chrysler (FCA US, LLC)",2025,778,1,1,Low
Aston Martin The Americas,2025,11,1,1,Low
Shyft Group,2025,6,1,1,Low
"Daimler Trucks North America, LLC",2025,68,1,1,Low
"Volkswagen Group of America, Inc.",2025,89417,2,3,High
"Polestar Automotive USA, Inc.",2025,3664,2,3,High
"K.Z., Inc.",2025,45,1,1,Low
Hyundai Motor America,2025,620,1,1,Low
Blue Bird Body Company,2025,34,1,1,Low
"Grand Design RV, LLC",2025,121,1,1,Low
Prevost Car (US) Inc.,2025,1,1,1,Low
"Porsche Cars North America, Inc.",2025,9735,2,3,High
"Tiffin Motorhomes, Inc.",2025,3,1,1,Low
WHITE MOTOR CORPORATION,1974,28,0,2,Medium
"Altec Industries, Inc.",2025,2461,2,3,High
"Forest River, Inc.",2025,1167,1,1,Low
"Mercedes-Benz USA, LLC",2025,46,1,1,Low
Brinkley RV,2025,1607,1,1,Low
"Jayco, Inc.",2025,65,1,1,Low
Keystone RV Company,2025,70,1,1,Low
"Chrysler (FCA US, LLC)",2025,63130,2,3,High
Temsa,2025,594,1,1,Low
"General Motors, LLC",2025,10,1,1,Low
"Polestar Automotive USA, Inc.",2025,27816,2,3,High
"Forest River Bus, LLC",2025,453,1,1,Low
"Forest River, Inc.",2025,59,1,1,Low
"International Motors, LLC",2025,14786,2,3,High
"General Motors, LLC",2025,597571,2,3,High
"Bombardier Recreational Products, Inc.",2025,478,1,1,Low
Ford Motor Company,2025,3,1,1,Low
"BMW of North America, LLC",2025,51,1,1,Low
Ford Motor Company,2025,160729,2,3,High
Ford Motor Company,2025,326,1,1,Low
Shyft Group,2025,163,1,1,Low
"Alliance RV, LLC",2025,32,1,1,Low
"International Motors, LLC",2025,964,1,1,Low
Highland Ridge RV,2025,24,1,1,Low
Blue Bird Body Company,2025,162,1,1,Low
Motiv Power Systems,2025,3,1,1,Low
Motiv Power Systems,2025,139,1,1,Low
"COLEMAN CO., INC.",1984,565,0,2,Medium
Ford Motor Company,2025,2,1,1,Low
"Forest River, Inc.",2025,16,1,1,Low
"Forest River, Inc.",2025,975,1,1,Low
"Nissan North America, Inc.",2025,37003,2,3,High
Honda (American Honda Motor Co.),2025,152800,2,3,High
"Autocar, LLC",2025,224,1,1,Low
"Mercedes-Benz USA, LLC",2025,6247,2,3,High
"Altec Industries, Inc.",2025,900,1,1,Low
"Altec Industries, Inc.",2025,103,1,1,Low
Temsa,2025,11,1,1,Low
"Mack Trucks, Inc.",2025,3,1,1,Low
Volvo Trucks North America,2025,102,1,1,Low
Pure Sports Distributing Inc.,2025,216,1,1,Low
"BMW of North America, LLC",2025,26,1,1,Low
"Volkswagen Group of America, Inc.",2025,3773,2,3,High
Oshkosh Corporation,2025,216,1,1,Low
"Mercedes-Benz USA, LLC",2025,14,1,1,Low
Prevost Car (US) Inc.,2025,15,1,1,Low
"Maserati North America, Inc.",2025,21,1,1,Low
"Forest River, Inc.",2025,4179,2,3,High
Ford Motor Company,2025,4625,2,3,High
"Jayco, Inc.",2025,34,1,1,Low
Ford Motor Company,2025,24655,2,3,High
Ford Motor Company,2025,1168,1,1,Low
Ford Motor Company,2025,123611,2,3,High
Ford Motor Company,2025,457,1,1,Low
"Volkswagen Group of America, Inc.",1974,16000,0,2,Medium
Hyundai Motor America,2025,1589,2,3,High
Honda (American Honda Motor Co.),2025,9,1,1,Low
"Volkswagen Group of America, Inc.",2025,5637,2,3,High
"Chrysler (FCA US, LLC)",2025,10423,2,3,High
Oshkosh Corporation,2025,469,1,1,Low
"Forest River, Inc.",2025,23,1,1,Low
"Forest River, Inc.",2025,27,1,1,Low
"General Motors, LLC",2025,17,1,1,Low
"Gillig, LLC",2025,27,1,1,Low
"Volkswagen Group of America, Inc.",2025,98,1,1,Low
McLaren Automotive Incorporated,2025,29,1,1,Low
"Alliance RV, LLC",2025,152,1,1,Low
"Volkswagen Group of America, Inc.",2025,313,1,1,Low
"Corp. Micro Bird, Inc.",2025,3,1,1,Low
"Corp. Micro Bird, Inc.",2025,102,1,1,Low
"Porsche Cars North America, Inc.",2025,8571,2,3,High
Volvo Trucks North America,2025,5257,2,3,High
WHITE RIVER MARINE GROUP LLC,2025,2164,1,1,Low
Nova Bus (US) Inc.,2025,44,1,1,Low
"Forest River, Inc.",2025,69,1,1,Low
Honda (American Honda Motor Co.),2025,7212,2,3,High
"Autocar, LLC",2025,5,1,1,Low
"Autocar, LLC",2025,1000,1,1,Low
Nova Bus (US) Inc.,2025,24,1,1,Low
Shyft Group,2025,23,1,1,Low
Starcraft RV,2025,15,1,1,Low
"Jayco, Inc.",2025,34,1,1,Low
"BMW of North America, LLC",2025,4557,2,3,High
"Bollinger Motors, Inc.",2025,17,1,1,Low
"Volkswagen Group of America, Inc.",2025,44387,2,3,High
Ford Motor Company,2025,47,1,1,Low
Ford Motor Company,2025,4356,2,3,High
Ford Motor Company,2025,152,1,1,Low
Oshkosh Corporation,2025,169,1,1,Low
Great Dane Trailers,2025,16,1,1,Low
Honda (American Honda Motor Co.),2025,3316,2,3,High
DORSEY CORPORATION,1974,74,0,2,Medium
"Chrysler (FCA US, LLC)",2025,8,1,1,Low
"General Motors, LLC",2025,10643,2,3,High
"Corp. Micro Bird, Inc.",2025,26,1,1,Low
"Daimler Trucks North America, LLC",2025,1968,2,3,High
Volvo Trucks North America,2025,174,1,1,Low
Keystone RV Company,2025,70,1,1,Low
"Mack Trucks, Inc.",2025,17,1,1,Low
PACCAR Incorporated,2025,168,1,1,Low
PACCAR Incorporated,2025,238,1,1,Low
"Volvo Car USA, LLC",2025,7483,2,3,High
"International Motors, LLC",2025,153,1,1,Low
Winnebago Towable,2025,70,1,1,Low
"Chrysler (FCA US, LLC)",2025,3919,2,3,High
Thor Motor Coach,2025,4251,2,3,High
"General Motors, LLC",2025,934,1,1,Low
"International Motors, LLC",2025,6988,2,3,High
"International Motors, LLC",2025,5,1,1,Low
"Tesla, Inc.",2025,91,1,1,Low
PHILADELPHIA SUBURBAN CO.,1981,40,0,2,Medium
Vermeer Manufacturing Company,2025,472,1,1,Low
"Nissan North America, Inc.",2025,1430,2,3,High
"Tesla, Inc.",2025,46096,2,3,High
Ford Motor Company,2025,567,1,1,Low
Ford Motor Company,2025,471,1,1,Low
Ford Motor Company,2025,4247,2,3,High
Ford Motor Company,2025,33576,2,3,High
Ford Motor Company,2025,269,1,1,Low
Ford Motor Company,2025,11621,2,3,High
Ford Motor Company,2025,4721,2,3,High
Ford Motor Company,2025,2290,2,3,High
Ford Motor Company,2025,49399,2,3,High
Ford Motor Company,2025,48066,2,3,High
Ford Motor Company,2025,9,1,1,Low
"Forest River, Inc.",2025,120,1,1,Low
Mazda North American Operations,2025,63,1,1,Low
"AMERICAN TRAILERS, INC.",1974,23,0,2,Medium
"Daimler Trucks North America, LLC",2025,810,1,1,Low
"Jaguar Land Rover North America, LLC",2025,7276,2,3,High
"BMW of North America, LLC",2025,192,1,1,Low
Shyft Group,2025,605,1,1,Low
Keystone RV Company,2025,383,1,1,Low
"Nissan North America, Inc.",2025,199,1,1,Low
FREIGHTLINER LLC,1987,16,0,2,Medium
"Forest River, Inc.",2025,20,1,1,Low
"Mercedes-Benz USA, LLC",2025,4,1,1,Low
"General Motors, LLC",2025,90081,2,3,High
"Ineos Automotive Americas, LLC",2025,7022,2,3,High
"Jayco, Inc.",2025,15,1,1,Low
"Kawasaki Motors Corp., U.S.A.",2025,3742,2,3,High
Shyft Group,2025,14,1,1,Low
"Airstream, Inc.",2025,648,1,1,Low
Daimler Coaches North America,2025,162,1,1,Low
Blue Bird Body Company,1974,844,0,2,Medium
"Triumph Motorcycles America, Ltd.",2025,1157,1,1,Low
"Jayco, Inc.",2025,129,1,1,Low
Motiv Power Systems,2025,222,1,1,Low
Motiv Power Systems,2025,40,1,1,Low
Ford Motor Company,2025,355,1,1,Low
Ford Motor Company,2025,207,1,1,Low
Ford Motor Company,2025,10627,2,3,High
Ford Motor Company,2025,950,1,1,Low
Ford Motor Company,2025,633,1,1,Low
Ford Motor Company,2025,2,1,1,Low
Ford Motor Company,2025,18648,2,3,High
Ford Motor Company,2025,141,1,1,Low
Ford Motor Company,2025,933,1,1,Low
"Volkswagen Group of America, Inc.",2025,13769,2,3,High
"Mercedes-Benz USA, LLC",2025,2943,2,3,High
"Daimler Vans USA, LLC",2025,88,1,1,Low
"Big Tex Trailer Manufacturing, Inc.",2025,48,1,1,Low
Orange EV,2025,24,1,1,Low
"Volkswagen Group of America, Inc.",2025,60490,2,3,High
REV Recreation Group,2025,2666,2,3,High
"Kia America, Inc.",2025,342,1,1,Low
"Mercedes-Benz USA, LLC",2025,20339,2,3,High
Textron Specialized Vehicles,2025,1283,1,1,Low
"Kawasaki Motors Corp., U.S.A.",2025,216,1,1,Low
"Grand Design RV, LLC",2025,58,1,1,Low
"BMW of North America, LLC",2025,114,1,1,Low
Keystone RV Company,2025,100,1,1,Low
"Forest River, Inc.",2025,1833,2,3,High
"Forest River, Inc.",2025,7,1,1,Low
"Forest River Bus, LLC",2025,41,1,1,Low
Shyft Group,2025,85,1,1,Low
Indian Motorcycle Company,2025,7,1,1,Low
"BMW of North America, LLC",2025,40736,2,3,High
"Maserati North America, Inc.",2025,27354,2,3,High
Honda (American Honda Motor Co.),2025,507,1,1,Low
Hyundai Motor America,2025,32594,2,3,High
"Volkswagen Group of America, Inc.",2025,8237,2,3,High
"Volvo Car USA, LLC",2025,15,1,1,Low
Volvo Trucks North America,2025,8,1,1,Low
Nova Bus (US) Inc.,2025,2,1,1,Low
Thor Motor Coach,2025,637,1,1,Low
